Question,Answer
daa,https://t.me/DAA_SVIET
design and analysis of algorithm,https://t.me/DAA_SVIET
d a a,https://t.me/DAA_SVIET
dwdm,https://t.me/DWDM_SVIET
d w d m,https://t.me/DWDM_SVIET
data warehousing and data mining,https://t.me/DWDM_SVIET
iot,https://t.me/IOT_SVIET
i o t,https://t.me/IOT_SVIET
internet of things,https://t.me/IOT_SVIET
cn,https://t.me/CN_SVIET
c n,https://t.me/CN_SVIET
computer networks,https://t.me/CN_SVIET
spm,https://t.me/SPM_SVIE
s p m,https://t.me/SPM_SVIE
software project management,https://t.me/SPM_SVIE
hi,hello!
hi mowa, hello mowa
hi ii!,hello!
good morning,good morning
good night,good night
good afternoon,good afternoon
good evening,good evening
who created you,udeep
who created you?,udeep
what is your name?,deku
what is your name,deku
time,check your phone
time?,check your phone
exam,ask cr
exam?,ask cr
do you love me,no
who do you love,i dont love
who is your master,udeep
who is your master,udeep
do you have friends?,yes the users in the group
do you have friends,yes the users in the group
hii,hello!
hiii,hello!
hi iii,hello!
hi iii,hello!
mowa,yenti mowa?
doubt,Ask cr!
questions,Ask cr!
syllabus,I don't know
3-1 syllabus,Cr
go to hell ,You are already in hell
naruto link,https://t.me/Naruto_NarutoShippuden
one piece link,https://t.me/onepiece_dub
bleach link,https://t.me/bleach_season
demon slayer link,https://t.me/Demon_Slayer_Dual
one punch man link,https://t.me/OnePunchMan_Series
what is the best anime series,one piece
what is the best anime series?,one piece
what if I dont watch one piece?,your weak
what if I don’t watch one piece?,your weak
what anime should I watch ,one piece
I already watched one piece,Then watch again
mowas…,haa mowa
repu cl vundaa,Ask cr
supply fee ki last date yeapudu?,I don’t know
supply fee ki last date yeapudu,I don’t know
time table?,yeami day Oo chapu mowa Ex:- {Monday time table}
time table,yeami day Oo chapu mowa Ex:- {Monday time table}
Monday time table,"1-daa/2-dwdm/3-cn(T)/4-iot(T)/5,6,7,8-skill-oriented lab"
Monday timetable,"1-daa/2-dwdm/3-cn(T)/4-iot(T)/5,6,7,8-skill-oriented lab"
Monday time table?,"1-daa/2-dwdm/3-cn(T)/4-iot(T)/5,6,7,8-skill-oriented lab"
Monday timetable?,"1-daa/2-dwdm/3-cn(T)/4-iot(T)/5,6,7,8-skill-oriented lab"
Tuesday time table,"1-dwdm/2-spm/3-iot/4-cn/5,6,7-(cnlab/dwdmlab)/8-club"
Tuesday timetable,"1-dwdm/2-spm/3-iot/4-cn/5,6,7-(cnlab/dwdmlab)/8-club"
Tuesday time table?,"1-dwdm/2-spm/3-iot/4-cn/5,6,7-(cnlab/dwdmlab)/8-club"
Tuesday timetable?,"1-dwdm/2-spm/3-iot/4-cn/5,6,7-(cnlab/dwdmlab)/8-club"
Wednesday timetable,"1-spm/2,3,4-(dwdmlab/cnlab)/5-iot(T)/6-dwdm(T)/7-coun/8-club"
Wednesday time table,"1-spm/2,3,4-(dwdmlab/cnlab)/5-iot(T)/6-dwdm(T)/7-coun/8-club"
Wednesday timetable?,"1-spm/2,3,4-(dwdmlab/cnlab)/5-iot(T)/6-dwdm(T)/7-coun/8-club"
Wednesday time table?,"1-spm/2,3,4-(dwdmlab/cnlab)/5-iot(T)/6-dwdm(T)/7-coun/8-club"
Thursday timetable,1-cn/2-dwdm/3-iot/4-daa/5-cn(E)/6-dwdm(E)/7-daa/8-club
Thursday time table,1-cn/2-dwdm/3-iot/4-daa/5-cn(E)/6-dwdm(E)/7-daa/8-club
Thursday timetable?,1-cn/2-dwdm/3-iot/4-daa/5-cn(E)/6-dwdm(E)/7-daa/8-club
Thursday time table?,1-cn/2-dwdm/3-iot/4-daa/5-cn(E)/6-dwdm(E)/7-daa/8-club
Friday timetable,1-iot/2-Es-1/3-cn/4-spm/5-daa/6-spm(T)/7-(daa(T)/8-club
Friday timetable?,1-iot/2-Es-1/3-cn/4-spm/5-daa/6-spm(T)/7-(daa(T)/8-club
Friday time table,1-iot/2-Es-1/3-cn/4-spm/5-daa/6-spm(T)/7-(daa(T)/8-club
Friday time table?,1-iot/2-Es-1/3-cn/4-spm/5-daa/6-spm(T)/7-(daa(T)/8-club
Saturday timetable,1-dwdm/2-Es-1/3-daa/4-spm/5-cn/6-iot/7-spm(E)/8-club
Saturday time table?,1-dwdm/2-Es-1/3-daa/4-spm/5-cn/6-iot/7-spm(E)/8-club
Saturday timetable?,1-dwdm/2-Es-1/3-daa/4-spm/5-cn/6-iot/7-spm(E)/8-club
Saturday time table,1-dwdm/2-Es-1/3-daa/4-spm/5-cn/6-iot/7-spm(E)/8-club
Sunday timetable,just enjoy Sunday
Sunday time table,just enjoy Sunday
Sunday time table?,just enjoy Sunday
Sunday timetable?,just enjoy Sunday
mid questions,Ask cr
mid questions?,Ask cr
imp questions?,Ask cr
important  questions?,Ask cr
important questions,Ask cr
imp questions,Ask cr
mowas,haa mowa
party,veldam mowa
party?,veldam mowa
movie,veldam mowa
movie?,veldam mowa
ticket money,mana lo manaki money yeanti
ticket money?,mana lo manaki money yeanti
money,mana lo manaki money yeanti
money?,mana lo manaki money yeanti
yo,sup!
sup,sup yourself
yo?,sup!
sup?,sup yourself
men,MEN
women,WOMEN
women haa,ha ha ha ha ha
shadow clone jutsu,gomu gomu no red hawk
itachi uchiha,genjutsu
hey,hey
worried,it's all good man
sharingan,Amaterasu
naruto uzumaki,rasen shuriken
sasuke uchiha,kirin
kakashi hatake,the copy ninja
shikamaru nara,give shikamaru a rest
jiraiya ,sage mode
pain,All mighty push
orochimaru,edo tensei
okay bro,k bro
luffy,gear 5
monkey d luffy,gear 5
trafalgar law,room
saitama,serious serious serious punch
tanjiro kamado,hinokami kagura
inosuke hashibira,beast breathing
zenitsu,thunderclap and flash
class lo yeavaru,yo cr chapu
class lo yeavaru?,yo cr chapu
movies ki channel chapu,https://t.me/droctopusCPbot
movies bot?,https://t.me/droctopusCPbot
movies,https://t.me/droctopusCPbot
latest movies,https://t.me/droctopusCPbot
latest movies?,https://t.me/droctopusCPbot
series ki,https://t.me/tvseriescobot
tvshows,https://t.me/tvseriescobot
tv shows,https://t.me/tvseriescobot
tvshows?,https://t.me/tvseriescobot
tv shows?,https://t.me/tvseriescobot
series bot,https://t.me/tvseriescobot
